Coord1,Coord2,Ind,Character,Kart,Wheel,Glider,Weight,Acceleration,On-road Traction,Off-road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-gravity Handling,Air Handling
Weight,Mini-Turbo,527,Metal Mario,Biddybuggy,Roller,Peach Parasol,11.0,16.0,11.0,9.0,16.0,8.0,12.0,11.0,13.0,13.0,12.0,12.0,13.0
Weight,Mini-Turbo,1183,Metal Mario,Biddybuggy,Roller,Wario Wing,12.0,15.0,11.0,9.0,15.0,9.0,12.0,11.0,14.0,13.0,12.0,12.0,12.0
Weight,Mini-Turbo,1171,Metal Mario,Pipe Frame,Roller,Peach Parasol,12.0,15.0,13.0,9.0,15.0,9.0,14.0,10.0,13.0,13.0,12.0,11.0,11.0
Weight,Mini-Turbo,1761,Metal Mario,Cat Cruiser,Roller,Peach Parasol,13.0,14.0,14.0,8.0,14.0,10.0,13.0,12.0,16.0,12.0,10.0,10.0,13.0
Weight,Mini-Turbo,1753,Metal Mario,Pipe Frame,Roller,Wario Wing,13.0,14.0,13.0,9.0,14.0,10.0,14.0,10.0,14.0,13.0,12.0,11.0,10.0
Weight,Mini-Turbo,2265,Metal Mario,Mach 8,Roller,Peach Parasol,14.0,12.0,12.0,9.0,13.0,11.0,14.0,14.0,16.0,10.0,10.0,11.0,11.0
Weight,Mini-Turbo,2272,Metal Mario,Cat Cruiser,Roller,Wario Wing,14.0,13.0,14.0,8.0,13.0,11.0,13.0,12.0,17.0,12.0,10.0,10.0,12.0
Weight,Mini-Turbo,3410,Metal Mario,Mach 8,Roller,Wario Wing,15.0,11.0,12.0,9.0,12.0,12.0,14.0,14.0,17.0,10.0,10.0,11.0,10.0
Weight,Mini-Turbo,3447,Metal Mario,Biddybuggy,Monster,Peach Parasol,15.0,12.0,14.0,12.0,12.0,10.0,11.0,13.0,11.0,9.0,9.0,8.0,10.0
Weight,Mini-Turbo,3707,Metal Mario,Pipe Frame,Monster,Peach Parasol,16.0,11.0,16.0,12.0,11.0,11.0,13.0,12.0,11.0,9.0,9.0,7.0,8.0
Weight,Mini-Turbo,3752,Metal Mario,Biddybuggy,Monster,Wario Wing,16.0,11.0,14.0,12.0,11.0,11.0,11.0,13.0,12.0,9.0,9.0,8.0,9.0
Weight,Mini-Turbo,4731,Metal Mario,Pipe Frame,Monster,Wario Wing,17.0,10.0,16.0,12.0,10.0,12.0,13.0,12.0,12.0,9.0,9.0,7.0,7.0
Weight,Mini-Turbo,4749,Metal Mario,Cat Cruiser,Monster,Peach Parasol,17.0,10.0,17.0,11.0,10.0,12.0,12.0,14.0,14.0,8.0,7.0,6.0,10.0
Weight,Mini-Turbo,4852,Metal Mario,Mach 8,Monster,Peach Parasol,18.0,8.0,15.0,12.0,9.0,13.0,13.0,16.0,14.0,6.0,7.0,7.0,8.0
Weight,Mini-Turbo,4865,Metal Mario,Cat Cruiser,Monster,Wario Wing,18.0,9.0,17.0,11.0,9.0,13.0,12.0,14.0,15.0,8.0,7.0,6.0,9.0
Weight,Mini-Turbo,4911,Metal Mario,Mach 8,Monster,Wario Wing,19.0,7.0,15.0,12.0,8.0,14.0,13.0,16.0,15.0,6.0,7.0,7.0,7.0
Weight,Mini-Turbo,4933,Metal Mario,Steel Driver,Monster,Wario Wing,20.0,5.0,14.0,11.0,6.0,15.0,15.0,13.0,11.0,5.0,10.0,4.0,6.0
Weight,Ground Speed,3,Bowser,Badwagon,Metal,Wario Wing,20.0,1.0,11.0,7.0,1.0,20.0,15.0,15.0,15.0,3.0,4.0,2.0,1.0
Weight,Water Speed,14,Bowser,Steel Driver,Off-Road,Super Glider,18.0,5.0,11.0,10.0,4.0,18.0,20.0,14.0,13.0,3.0,6.0,4.0,4.0
Weight,Water Speed,107,Bowser,Steel Driver,Metal,Super Glider,19.0,2.0,9.0,6.0,3.0,19.0,19.0,13.0,14.0,4.0,7.0,3.0,2.0
Weight,Water Speed,109,Bowser,Steel Driver,Off-Road,Wario Wing,19.0,5.0,12.0,9.0,4.0,18.0,19.0,15.0,13.0,3.0,7.0,3.0,4.0
Weight,Water Speed,143,Bowser,Steel Driver,Metal,Wario Wing,20.0,2.0,10.0,5.0,3.0,19.0,18.0,14.0,14.0,4.0,8.0,2.0,2.0
Weight,Anti-gravity Speed,4,Bowser,Mach 8,Slick,Wario Wing,18.0,5.0,14.0,4.0,5.0,18.0,13.0,20.0,16.0,5.0,3.0,6.0,4.0
Weight,Anti-gravity Speed,102,Bowser,Mach 8,Monster,Wario Wing,19.0,6.0,13.0,11.0,7.0,16.0,15.0,18.0,17.0,3.0,4.0,4.0,4.0
Weight,Anti-gravity Speed,114,Bowser,Badwagon,Slick,Wario Wing,19.0,2.0,14.0,5.0,1.0,20.0,12.0,18.0,13.0,3.0,2.0,3.0,2.0
Weight,Anti-gravity Speed,144,Bowser,Badwagon,Monster,Wario Wing,20.0,3.0,13.0,12.0,3.0,18.0,14.0,16.0,14.0,1.0,3.0,1.0,2.0
Weight,Air Speed,28,Bowser,Mach 8,Sponge,Wario Wing,16.0,8.0,12.0,10.0,9.0,15.0,14.0,17.0,20.0,5.0,4.0,6.0,6.0
Weight,Air Speed,298,Bowser,Mach 8,Standard,Wario Wing,17.0,8.0,12.0,9.0,8.0,16.0,16.0,18.0,19.0,6.0,6.0,7.0,6.0
Weight,Air Speed,477,Bowser,Mach 8,Metal,Wario Wing,19.0,4.0,11.0,6.0,5.0,18.0,16.0,17.0,18.0,5.0,5.0,5.0,3.0
Weight,Air Speed,519,Bowser,Badwagon,Metal,Wario Wing,20.0,1.0,11.0,7.0,1.0,20.0,15.0,15.0,15.0,3.0,4.0,2.0,1.0
Weight,Ground Handling,4025,Baby Peach,Pipe Frame,Slim,Wario Wing,5.0,13.0,12.0,10.0,14.0,5.0,5.0,6.0,5.0,20.0,19.0,17.0,17.0
Weight,Ground Handling,3160,Baby Peach,Tanooki Kart,Slim,Wario Wing,7.0,9.0,13.0,13.0,11.0,6.0,6.0,8.0,7.0,19.0,19.0,16.0,18.0
Weight,Ground Handling,2340,Koopa Troopa,Tanooki Kart,Slim,Wario Wing,9.0,9.0,11.0,13.0,10.0,8.0,8.0,10.0,9.0,17.0,17.0,14.0,16.0
Weight,Ground Handling,2469,Baby Peach,Tanooki Kart,Metal,Wario Wing,9.0,7.0,10.0,14.0,9.0,7.0,7.0,5.0,7.0,17.0,17.0,14.0,14.0
Weight,Ground Handling,969,Toad,Tanooki Kart,Slim,Wario Wing,10.0,9.0,13.0,12.0,9.0,9.0,9.0,11.0,10.0,16.0,16.0,13.0,15.0
Weight,Ground Handling,100,Luigi,Pipe Frame,Slim,Wario Wing,11.0,11.0,14.0,6.0,11.0,11.0,11.0,12.0,11.0,15.0,14.0,12.0,12.0
Weight,Ground Handling,319,Koopa Troopa,Tanooki Kart,Metal,Wario Wing,11.0,7.0,8.0,14.0,8.0,9.0,9.0,7.0,9.0,15.0,15.0,12.0,12.0
Weight,Ground Handling,1484,Luigi,Tanooki Kart,Slim,Wario Wing,13.0,7.0,15.0,9.0,8.0,12.0,12.0,14.0,13.0,14.0,14.0,11.0,13.0
Weight,Ground Handling,3668,Metal Mario,Pipe Frame,Slim,Wario Wing,15.0,10.0,17.0,6.0,10.0,13.0,13.0,14.0,13.0,13.0,12.0,10.0,10.0
Weight,Ground Handling,4423,Metal Mario,Tanooki Kart,Slim,Wario Wing,17.0,6.0,18.0,9.0,7.0,14.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0
Weight,Ground Handling,4468,Metal Mario,Tanooki Kart,Metal,Wario Wing,19.0,4.0,15.0,10.0,5.0,15.0,15.0,13.0,15.0,10.0,10.0,7.0,7.0
Weight,Ground Handling,4474,Metal Mario,Steel Driver,Metal,Wario Wing,20.0,3.0,12.0,6.0,4.0,17.0,16.0,12.0,12.0,7.0,11.0,5.0,5.0
Weight,Water Handling,2997,Baby Peach,Steel Driver,Slim,Wario Wing,8.0,8.0,10.0,9.0,10.0,8.0,7.0,7.0,4.0,16.0,20.0,14.0,16.0
Weight,Water Handling,1025,Koopa Troopa,Steel Driver,Slim,Wario Wing,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,6.0,14.0,18.0,12.0,14.0
Weight,Water Handling,1206,Baby Peach,Steel Driver,Metal,Wario Wing,10.0,6.0,7.0,10.0,8.0,9.0,8.0,4.0,4.0,14.0,18.0,12.0,12.0
Weight,Water Handling,254,Toad,Steel Driver,Slim,Wario Wing,11.0,8.0,10.0,8.0,8.0,11.0,10.0,10.0,7.0,13.0,17.0,11.0,13.0
Weight,Water Handling,1591,Koopa Troopa,Steel Driver,Metal,Wario Wing,12.0,6.0,5.0,10.0,7.0,11.0,10.0,6.0,6.0,12.0,16.0,10.0,10.0
Weight,Water Handling,2035,Luigi,Steel Driver,Slim,Wario Wing,14.0,6.0,12.0,5.0,7.0,14.0,13.0,13.0,10.0,11.0,15.0,9.0,11.0
Weight,Water Handling,3290,Metal Mario,Steel Driver,Slim,Wario Wing,18.0,5.0,15.0,5.0,6.0,16.0,15.0,15.0,12.0,9.0,13.0,7.0,9.0
Weight,Water Handling,3325,Metal Mario,Steel Driver,Metal,Wario Wing,20.0,3.0,12.0,6.0,4.0,17.0,16.0,12.0,12.0,7.0,11.0,5.0,5.0
Weight,Anti-gravity Handling,5578,Baby Peach,Blue Falcon,Button,Super Glider,1.0,13.0,6.0,12.0,14.0,6.0,5.0,6.0,7.0,16.0,16.0,20.0,14.0
Weight,Anti-gravity Handling,5566,Baby Peach,Biddybuggy,Button,Super Glider,1.0,17.0,6.0,13.0,18.0,2.0,4.0,4.0,5.0,19.0,17.0,20.0,17.0
Weight,Anti-gravity Handling,5564,Baby Peach,Biddybuggy,Roller,Super Glider,1.0,18.0,5.0,14.0,19.0,1.0,5.0,2.0,6.0,20.0,18.0,20.0,19.0
Weight,Anti-gravity Handling,5576,Baby Peach,Blue Falcon,Roller,Super Glider,1.0,14.0,5.0,13.0,15.0,5.0,6.0,4.0,8.0,17.0,17.0,20.0,16.0
Weight,Anti-gravity Handling,5048,Baby Peach,Mach 8,Button,Super Glider,4.0,13.0,7.0,13.0,15.0,5.0,6.0,7.0,8.0,16.0,15.0,19.0,15.0
Weight,Anti-gravity Handling,5046,Baby Peach,Mach 8,Roller,Super Glider,4.0,14.0,6.0,14.0,16.0,4.0,7.0,5.0,9.0,17.0,16.0,19.0,17.0
Weight,Anti-gravity Handling,4641,Baby Peach,Mach 8,Slim,Super Glider,6.0,10.0,10.0,11.0,12.0,7.0,6.0,9.0,8.0,17.0,16.0,18.0,17.0
Weight,Anti-gravity Handling,4639,Baby Peach,Mach 8,Standard,Super Glider,6.0,12.0,8.0,15.0,13.0,6.0,7.0,7.0,9.0,16.0,15.0,18.0,16.0
Weight,Anti-gravity Handling,3738,Baby Peach,Mach 8,Off-Road,Super Glider,7.0,11.0,9.0,16.0,11.0,7.0,8.0,7.0,7.0,14.0,13.0,17.0,15.0
Weight,Anti-gravity Handling,3735,Baby Peach,Mach 8,Slick,Super Glider,7.0,9.0,10.0,10.0,10.0,8.0,4.0,9.0,6.0,15.0,12.0,17.0,14.0
Weight,Anti-gravity Handling,3734,Baby Peach,Mach 8,Slim,Wario Wing,7.0,10.0,11.0,10.0,12.0,7.0,5.0,10.0,8.0,17.0,17.0,17.0,17.0
Weight,Anti-gravity Handling,3732,Baby Peach,Mach 8,Standard,Wario Wing,7.0,12.0,9.0,14.0,13.0,6.0,6.0,8.0,9.0,16.0,16.0,17.0,16.0
Weight,Anti-gravity Handling,3045,Baby Peach,Mach 8,Metal,Super Glider,8.0,8.0,7.0,12.0,10.0,8.0,7.0,6.0,8.0,15.0,14.0,16.0,13.0
Weight,Anti-gravity Handling,3044,Baby Peach,Mach 8,Slick,Wario Wing,8.0,9.0,11.0,9.0,10.0,8.0,3.0,10.0,6.0,15.0,13.0,16.0,14.0
Weight,Anti-gravity Handling,2886,Koopa Troopa,Mach 8,Slim,Super Glider,8.0,10.0,8.0,11.0,11.0,9.0,8.0,11.0,10.0,15.0,14.0,16.0,15.0
Weight,Anti-gravity Handling,2884,Koopa Troopa,Mach 8,Standard,Super Glider,8.0,12.0,6.0,15.0,12.0,8.0,9.0,9.0,11.0,14.0,13.0,16.0,14.0
Weight,Anti-gravity Handling,3047,Baby Peach,Mach 8,Off-Road,Wario Wing,8.0,11.0,10.0,15.0,11.0,7.0,7.0,8.0,7.0,14.0,14.0,16.0,15.0
Weight,Anti-gravity Handling,2182,Koopa Troopa,Mach 8,Slick,Super Glider,9.0,9.0,8.0,10.0,9.0,10.0,6.0,11.0,8.0,13.0,10.0,15.0,12.0
Weight,Anti-gravity Handling,2185,Koopa Troopa,Mach 8,Off-Road,Super Glider,9.0,11.0,7.0,16.0,10.0,9.0,10.0,9.0,9.0,12.0,11.0,15.0,13.0
Weight,Anti-gravity Handling,2340,Baby Peach,Mach 8,Metal,Wario Wing,9.0,8.0,8.0,11.0,10.0,8.0,6.0,7.0,8.0,15.0,15.0,15.0,13.0
Weight,Anti-gravity Handling,2179,Koopa Troopa,Mach 8,Standard,Wario Wing,9.0,12.0,7.0,14.0,12.0,8.0,8.0,10.0,11.0,14.0,14.0,15.0,14.0
Weight,Anti-gravity Handling,2044,Toad,Mach 8,Slim,Super Glider,9.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,11.0,14.0,13.0,15.0,14.0
Weight,Anti-gravity Handling,2042,Toad,Mach 8,Standard,Super Glider,9.0,12.0,8.0,14.0,11.0,9.0,10.0,10.0,12.0,13.0,12.0,15.0,13.0
Weight,Anti-gravity Handling,2181,Koopa Troopa,Mach 8,Slim,Wario Wing,9.0,10.0,9.0,10.0,11.0,9.0,7.0,12.0,10.0,15.0,15.0,15.0,15.0
Weight,Anti-gravity Handling,97,Luigi,Mach 8,Button,Super Glider,10.0,11.0,9.0,9.0,12.0,11.0,12.0,13.0,14.0,11.0,10.0,14.0,10.0
Weight,Anti-gravity Handling,253,Toad,Mach 8,Standard,Wario Wing,10.0,12.0,9.0,13.0,11.0,9.0,9.0,11.0,12.0,13.0,13.0,14.0,13.0
Weight,Anti-gravity Handling,255,Toad,Mach 8,Slim,Wario Wing,10.0,10.0,11.0,9.0,10.0,10.0,8.0,13.0,11.0,14.0,14.0,14.0,14.0
Weight,Anti-gravity Handling,256,Toad,Mach 8,Slick,Super Glider,10.0,9.0,10.0,9.0,8.0,11.0,7.0,12.0,9.0,12.0,9.0,14.0,11.0
Weight,Anti-gravity Handling,351,Koopa Troopa,Mach 8,Slick,Wario Wing,10.0,9.0,9.0,9.0,9.0,10.0,5.0,12.0,8.0,13.0,11.0,14.0,12.0
Weight,Anti-gravity Handling,259,Toad,Mach 8,Off-Road,Super Glider,10.0,11.0,9.0,15.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,14.0,12.0
Weight,Anti-gravity Handling,95,Luigi,Mach 8,Roller,Super Glider,10.0,12.0,8.0,10.0,13.0,10.0,13.0,11.0,15.0,12.0,11.0,14.0,12.0
Weight,Anti-gravity Handling,352,Koopa Troopa,Mach 8,Metal,Super Glider,10.0,8.0,5.0,12.0,9.0,10.0,9.0,8.0,10.0,13.0,12.0,14.0,11.0
Weight,Anti-gravity Handling,354,Koopa Troopa,Mach 8,Off-Road,Wario Wing,10.0,11.0,8.0,15.0,10.0,9.0,9.0,10.0,9.0,12.0,12.0,14.0,13.0
Weight,Anti-gravity Handling,793,Luigi,Mach 8,Standard,Super Glider,12.0,10.0,10.0,11.0,10.0,12.0,13.0,13.0,15.0,11.0,10.0,13.0,11.0
Weight,Anti-gravity Handling,795,Luigi,Mach 8,Slim,Super Glider,12.0,8.0,12.0,7.0,9.0,13.0,12.0,15.0,14.0,12.0,11.0,13.0,12.0
Weight,Anti-gravity Handling,1732,Metal Mario,Mach 8,Button,Super Glider,14.0,10.0,12.0,9.0,11.0,13.0,14.0,15.0,16.0,9.0,8.0,12.0,8.0
Weight,Anti-gravity Handling,1730,Metal Mario,Mach 8,Roller,Super Glider,14.0,11.0,11.0,10.0,12.0,12.0,15.0,13.0,17.0,10.0,9.0,12.0,10.0
Weight,Anti-gravity Handling,4192,Metal Mario,Mach 8,Standard,Super Glider,16.0,9.0,13.0,11.0,9.0,14.0,15.0,15.0,17.0,9.0,8.0,11.0,9.0
Weight,Anti-gravity Handling,4194,Metal Mario,Mach 8,Slim,Super Glider,16.0,7.0,15.0,7.0,8.0,15.0,14.0,17.0,16.0,10.0,9.0,11.0,10.0
Weight,Anti-gravity Handling,5353,Metal Mario,Mach 8,Slick,Super Glider,17.0,6.0,15.0,6.0,6.0,16.0,12.0,17.0,14.0,8.0,5.0,10.0,7.0
Weight,Anti-gravity Handling,5352,Metal Mario,Mach 8,Slim,Wario Wing,17.0,7.0,16.0,6.0,8.0,15.0,13.0,18.0,16.0,10.0,10.0,10.0,10.0
Weight,Anti-gravity Handling,5350,Metal Mario,Mach 8,Standard,Wario Wing,17.0,9.0,14.0,10.0,9.0,14.0,14.0,16.0,17.0,9.0,9.0,10.0,9.0
Weight,Anti-gravity Handling,5356,Metal Mario,Mach 8,Off-Road,Super Glider,17.0,8.0,14.0,12.0,7.0,15.0,16.0,15.0,15.0,7.0,6.0,10.0,8.0
Weight,Anti-gravity Handling,5471,Metal Mario,Mach 8,Metal,Super Glider,18.0,5.0,12.0,8.0,6.0,16.0,15.0,14.0,16.0,8.0,7.0,9.0,6.0
